date,username,content,replyCount,likeCount,retweetCount
2021-02-07 21:09:00+00:00,MomItForward,"A11: For more mouth-watering game day recipes, head over to https://t.co/Tjdh4LwIk0. Also, share your favorite game day recipe on social media with the hashtag #GuacFromMexico and enter for a chance to win $1,000,000! #gno #GuacFromMexico #SBLV #ad #sweepstakes",1,23,21
2021-02-07 20:59:39+00:00,MamaHolistica,Tweet your favorite part about https://t.co/TvYxgWJOiZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes 🥳,0,0,0
2021-02-07 20:59:00+00:00,ForwardIM,"A9: Avocados From Mexico is giving you one last chance to enter to win $1,000,000 when you share your game day preps, snacks, and gear using the hashtag #GuacFromMexico. #gno #GuacFromMexico #SBLV #ad #sweepstakes",0,1,1
2021-02-07 20:58:00+00:00,TroyPattee,"A9: Avocados From Mexico is giving you one last chance to enter to win $1,000,000 when you share your game day preps, snacks, and gear using the hashtag #GuacFromMexico. #gno #GuacFromMexico #SBLV #ad #sweepstakes",0,0,0
2021-02-07 20:58:00+00:00,MomItForward,"A9: For more mouth-watering game day recipes, head over to https://t.co/Tjdh4LwIk0. Also, share your favorite game day recipe on social media with the hashtag #GuacFromMexico and enter for a chance to win $1,000,000! #gno #GuacFromMexico #SBLV #ad #sweepstakes",5,33,33
2021-02-07 20:57:58+00:00,CensieJ,RT: Tweet your favorite part about https://t.co/jhVoulpJcZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:57:49+00:00,MoneywiseMoms,Tweet your favorite part about https://t.co/lPvhYm23Nz including the hashtag #GuacFromMexico and you will get a chance to win $1 Million! Whoa! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:57:12+00:00,MidlifeHealthy,Don't forget to tweet your favorite part about https://t.co/s1D99fHbpy including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,1
2021-02-07 20:57:01+00:00,EmilyReviewsCom,Tweet your favorite part about https://t.co/9w3IBr7tTa including the hashtag #GuacFromMexico and you will get a chance to win $1 Million! Whoa! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,1,0
2021-02-07 20:57:00+00:00,LifeWithKathy,Tweet your favorite part about https://t.co/fcTAAEyGUf including the hashtag #GuacFromMexico and get a chance to win $1 Million!! #gno #GuacFromMexico #SBLV #ad #sweepstakes,1,0,0
2021-02-07 20:57:00+00:00,MommyBlogExpert,Tweet your favorite part about https://t.co/x7aVChzRyf including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:57:00+00:00,SJBlahBlahBlog,Tweet your favorite part about https://t.co/8OQzLJrLeA including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,1,1
2021-02-07 20:57:00+00:00,PauseMeNot,"A9: Avocados From Mexico is giving you one last chance to enter to win $1,000,000 when you share your game day preps, snacks, and gear using the hashtag #GuacFromMexico. #gno #GuacFromMexico #SBLV #ad #sweepstakes",0,0,0
2021-02-07 20:57:00+00:00,MamacitaOTM,Tweet your favorite part about https://t.co/zBC8coiJ7F including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes @avosfrommexico @MomItForward @ForwardIM #Avocado #Avocados #Guac,0,0,0
2021-02-07 20:57:00+00:00,DeliciouslySavv,🎉Tweet your favorite part about https://t.co/SzGtswxehn including the hashtag #GuacFromMexico and get a chance to win $1 Million💰💰💰! #gno #GuacFromMexico #SBLV #ad #sweepstakes https://t.co/gQ6TRn4UnL,0,1,1
2021-02-07 20:55:53+00:00,TheNewClassy,Tweet your favorite part about https://t.co/CHgiivdauV including the hashtag #GuacFromMexico + get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,1
2021-02-07 20:38:54+00:00,MamaHolistica,Tweet your favorite part about https://t.co/TvYxgWJOiZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:36:12+00:00,EmilyReviewsCom,Tweet your favorite part about https://t.co/9w3IBr7tTa including the hashtag #GuacFromMexico and you'll get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:33:31+00:00,LifeWithKathy,Tweet your favorite part about https://t.co/fcTAAEyGUf including the hashtag #GuacFromMexico and get a chance to win $1 Million!! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:33:27+00:00,MidlifeHealthy,Please Tweet your favorite part about https://t.co/s1D99fHbpy including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:33:00+00:00,DeliciouslySavv,🎉Tweet your favorite part about https://t.co/SzGtswfDpP including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes https://t.co/Sxvq8nt1f6,0,2,1
2021-02-07 20:33:00+00:00,ItsFreeAtLast,Tweet your favorite part about https://t.co/4kyOAganmT including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,1
2021-02-07 20:33:00+00:00,danavento,Tweet your favorite part about https://t.co/fgTp3SgW2I including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 20:33:00+00:00,MommyBlogExpert,Tweet your favorite part about https://t.co/x7aVChig9F including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
